		altezza elemento	massa 	posizione CG	area	diametre	thickness	Inertia								
1	Nose	2.855	16	16883.14	17666716.92	1.2	0.002	52.67
2	Payload	1	400	16590.3				58.33
3	PAF	0.05	80.2	15848.78				7.49
4	FWD Skirt	0.754	25.6	15257.7	5700108.29	1.2	0.002	8.47
5	Avionics 2		60	15600				3.75
6	Parachute 2	0.34	36	15400				0.41
7	Tank LOX 2	0.622	42.41	14569	4702112.2	1.182	0.0024	4.52
8	LOX 2		1366.3	14569				254.44
9	Intertank 2	1.008	42.77	13754	7608904.92	1.2	0.0025	13.19
10	Tank RP1 2	0.172	27.32	13163	1319178.63	1.182	0.002	2.08
11	RP1 2		578.95	13163				66.95
12	AFT skirt 2	1.195	31.99	12359.35	11252930.18	1.2	0.0025	23.31
13	Fin 2_1		8.2	12000	2044308.87			0.81
14	Fin 2_2		8.2	12000				0.81
15	Fin 2_3		8.2	12000				0.81
16	Fin 2_4		8.2	12000				0.81
17	Thrust SRT 2	0.05	6.579	11800				25
18	Engine 2	0.875	52.76	11660				3.19
19	Interstage	2.25	199.46	10677.45	21378717.09	1.8	0.007	61.19
20	Avionics 1		15	11200				0.94
21	Parachute 1	0.754	70.09	10700				4.2
22	Tank LOX 1	4.159	331.91	7548	46993788.28	1.77	0.004	454.01
23	LOX 1		13553	7548				29497.06
24	Intertank 1	1.508	153.54	4714	17068428.9	1.8	0.006	66.67
25	Tank RP1 1	2.16	136.66	2880	24423311.17	1.77	0.0024	103.07
26	RP1 1		5742.9	2880				5079.99
27	AFT Skirt 1	1.8	61.1	723.78	25293050	1.8	0.002	118.27
28	Fin 1_1		48	700	6756114.6			9.2
29	Fin 1_2		48	700				9.2
30	Fin 1_3		48	700				9.2
31	Fin 1_4		48	700				9.2
32	Thrust SRT 1	0.05	74.42	600				10
33	Gimbals	0.05	19.09	500				10
34	Engine 1 	2.292	300	-1000				156.33
35	Feed LOX 2		24.59	13163				10
36	Feed RP1 2		10.42	12359.35				10
37	Feed LOX 1		243.96	2880				100
38	Feed RP1 1		103.37	723.78				100
